院校名称,省份,专业组名称,投档线,最低投档排名,,,,,,,,,,,,,,,
河北师范大学,河北,第101组,553,9611,,,,,,,,,,,,,,,
上海体育大学,上海,第101组,565,6666,,,,,,,,,,,,,,,
天津财经大学,天津,第101组,565,6709,,,,,,,,,,,,,,,
上海理工大学,上海,第101组,565,6768,,,,,,,,,,,,,,,
上海理工大学,上海,第102组,561,7615,,,,,,,,,,,,,,,
常州大学,江苏,第101组,565,6670,,,,,,,,,,,,,,,
常州大学,江苏,第102组,561,7740,,,,,,,,,,,,,,,
河南财经政法大学,河南,第101组,565,6780,,,,,,,,,,,,,,,
中国美术学院,浙江,第101组,565,6812,,,,,,,,,,,,,,,
山东师范大学,山东,第102组,564,6907,,,,,,,,,,,,,,,
山东师范大学,山东,第101组,562,7349,,,,,,,,,,,,,,,
广西师范大学,广西,第103组,564,6967,,,,,,,,,,,,,,,
广西师范大学,广西,第102组,552,9921,,,,,,,,,,,,,,,
河北大学,河北,第101组,564,7061,,,,,,,,,,,,,,,
南通大学,江苏,第101组,564,6854,,,,,,,,,,,,,,,
江苏师范大学,江苏,第101组,564,6902,,,,,,,,,,,,,,,
江苏师范大学,江苏,第103组,563,7104,,,,,,,,,,,,,,,
湖南工商大学,湖南,第101组,564,7035,,,,,,,,,,,,,,,
西华大学,四川,第101组,563,7146,,,,,,,,,,,,,,,
西安石油大学,陕西,第101组,563,7130,,,,,,,,,,,,,,,
西安财经大学,陕西,第101组,563,7176,,,,,,,,,,,,,,,
山西师范大学,山西,第102组,562,7396,,,,,,,,,,,,,,,
山西师范大学,山西,第101组,544,12115,,,,,,,,,,,,,,,
山西师范大学,山西,第103组,543,12323,,,,,,,,,,,,,,,
河南师范大学,河南,第102组,562,7432,,,,,,,,,,,,,,,
河南师范大学,河南,第101组,552,9897,,,,,,,,,,,,,,,
云南师范大学,云南,第103组,562,7294,,,,,,,,,,,,,,,
云南师范大学,云南,第101组,550,10400,,,,,,,,,,,,,,,
云南师范大学,云南,第104组,549,10675,,,,,,,,,,,,,,,
重庆第二师范学院,重庆,第102组,542,12773,,,,,,,,,,,,,,,
西藏大学,西藏,第102组,562,7477,,,,,,,,,,,,,,,
西藏大学,西藏,第101组,556,8980,,,,,,,,,,,,,,,
北京工商大学,北京,第101组,562,7485,,,,,,,,,,,,,,,
