序号,院校名称,学校标识码,主管部门,所在地,层次,省市,性质,研究生,共建方,城市级,考研,推免,深造,国内升学,出国,行业隶属,顶尖专业,特色专业,官网,可点击链接
1257,赣南师范大学科技学院,4136013439,江西省教育厅,赣州市,本科,江西,民办,,,三线,14.97,,8.04%,7.62%,0.42%,,,,http://www.gnnustc.com/,http://www.gnnustc.com/
1258,南昌应用技术师范学院,4136013440,江西省教育厅,南昌市,本科,江西,民办,,,二线,,,,,,,,,http://www.nncat.edu.cn/,http://www.nncat.edu.cn/
1259,江西财经大学现代经济管理学院,4136013441,江西省教育厅,南昌市,本科,江西,民办,,,二线,4,,11.09%,10.27%,0.82%,,,,http://xjg.jxufe.edu.cn//,http://xjg.jxufe.edu.cn//
1260,豫章师范学院,4136013774,江西省,南昌市,本科,江西,公办,,,二线,1.53,,9.71%,,,,,,http://www.yuznu.edu.cn/html/,http://www.yuznu.edu.cn/html/
1261,江西软件职业技术大学,4136013776,江西省教育厅,南昌市,本科,江西,民办,,,二线,,,,,,,,,https://www.jxuspt.com/,https://www.jxuspt.com/
1262,南昌师范学院,4136014437,江西省,南昌市,本科,江西,公办,,,二线,8.22,,12.86%,12.42%,0.44%,,,,http://www.ncnu.edu.cn/,http://www.ncnu.edu.cn/
1263,上饶幼儿师范高等专科学校,3636000312,江西省,上饶市,专科,江西,公办,,,三线,,,,,,,,,http://www.srsf.cn/,http://www.srsf.cn/
1264,抚州幼儿师范高等专科学校,3636000519,江西省,抚州市,专科,江西,公办,,,四线,,,,,,,,,http://www.fzpec.cn/,http://www.fzpec.cn/
1265,江西工业职业技术学院,4136010839,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxgzy.cn/,http://www.jxgzy.cn/
1266,江西医学高等专科学校,4136010888,江西省,上饶市,专科,江西,公办,,,三线,,,,,,,,,http://www.jxyxgz.cn/,http://www.jxyxgz.cn/
1267,九江职业大学,4136011505,江西省,九江市,专科,江西,公办,,,三线,,,,,,,,,http://www.jjvu.jx.cn/,http://www.jjvu.jx.cn/
1268,九江职业技术学院,4136011785,江西省,九江市,专科,江西,C/示范,,,三线,,,,,,,,,http://www.jvtc.jx.cn/,http://www.jvtc.jx.cn/
1269,江西司法警官职业学院,4136012929,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxsfjy.cn/,http://www.jxsfjy.cn/
1270,江西陶瓷工艺美术职业技术学院,4136012930,江西省,景德镇市,专科,江西,公办,,,四线,,,,,,,,,http://www.jxgymy.com/,http://www.jxgymy.com/
1271,江西旅游商贸职业学院,4136012932,江西省,南昌市,专科,江西,共建,,中华全国供销合作总社、江西省,二线,,,,,,,,,http://www.jxlsxy.com,http://www.jxlsxy.com
1272,江西电力职业技术学院,4136012933,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxdlzy.com/,http://www.jxdlzy.com/
1273,江西环境工程职业学院,4136012934,江西省,赣州市,专科,江西,群B,,,三线,,,,,,,,,http://www.jxhjxy.com/,http://www.jxhjxy.com/
1274,江西艺术职业学院,4136012936,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,https://www.jxysedu.com/index.shtml,https://www.jxysedu.com/index.shtml
1275,鹰潭职业技术学院,4136012937,江西省,鹰潭市,专科,江西,公办,,,五线,,,,,,,,,http://www.jxytxy.com.cn/,http://www.jxytxy.com.cn/
1276,江西信息应用职业技术学院,4136012939,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxcia.com/,http://www.jxcia.com/
1277,江西交通职业技术学院,4136012940,江西省,南昌市,专科,江西,群B/骨干,,,二线,,,,,,,,,http://www.jxjtxy.com/,http://www.jxjtxy.com/
1278,江西财经职业学院,4136012941,江西省,九江市,专科,江西,群B/骨干,,,三线,,,,,,,,,http://www.jxvc.jx.cn/,http://www.jxvc.jx.cn/
